scenario_id,arrival_rate_mean,res_Pharmacist_amount,res_Pharmacist_cost,res_Technician_amount,res_Technician_cost,res_Pharmacy_Information_System_amount,res_Pharmacy_Information_System_cost,el_sid-532DCBA6-2EA6-435D-AA1E-8B5115299C25_duration,el_sid-582150C6-EBEA-4A55-8E1D-7F0CA0B8CA54_duration,el_sid-2A37B8CB-663C-4265-839A-282F772E84CD_duration,el_sid-E0879ACC-9536-498C-BA79-DA8902BE9B34_duration,el_sid-4AE2ED27-9C67-481A-9168-772F2443AC40_duration,el_sid-C12EBC64-C7FC-447C-B752-63144C613AE3_duration,el_sid-5C5825C2-B65C-45BE-A3ED-994F57BB36F6_duration,el_sid-6476CFCF-4619-47E1-AAB6-E759EBBCFA19_duration,el_sid-4C7E683B-8A7A-4FC5-9BFE-7E06CB00DD9A_duration,el_sid-B3B7EE72-DC71-4E7F-8294-7D1D0931D128_duration,el_sid-A8BB4918-B634-4771-B746-709A2319BB3A_duration,el_sid-8B110648-DDB2-4073-B0E5-58F8A11C3BC1_duration,el_sid-780ADF48-2A4E-474C-949B-400E8E093FAB_duration,kpi_total_cost,kpi_cycle_time,kpi_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
0.0,14408.88,7.0,21.87,3.0,13.04,1.0,23.17,100.44,23.12,23.64,48.69,660.16,463.75,663.8,46.11,38.63,6.61,105.55,4340.6,147.59,18530.11904146021,23312.611342193257,20508.18755888004,5.0,True,True,True,True
1.0,12550.55,10.0,31.62,8.0,71.76,1.0,12.89,128.29,23.31,4.58,183.61,327.73,248.81,204.45,37.4,28.53,9.89,147.57,6919.41,58.89,87778.89303808597,23069.7195464345,17861.29638852544,5.0,True,True,True,True
2.0,8834.94,3.0,94.94,3.0,17.79,1.0,19.3,47.68,14.66,17.81,85.82,392.56,309.08,729.48,55.03,23.8,14.73,121.72,8427.08,111.41,43504.32092293282,306693.49839888496,302194.1358500767,75.0,False,False,True,False
3.0,6221.89,3.0,93.72,2.0,48.68,1.0,13.1,84.36,29.14,6.39,178.22,391.3,467.87,299.05,52.86,30.44,24.44,63.56,5863.83,121.43,74240.85179469695,716118.9964693662,714300.6673878994,21.0,True,True,True,True
4.0,18954.38,11.0,110.26,5.0,17.09,1.0,11.91,125.04,33.46,15.42,168.24,391.21,592.01,730.43,70.53,50.36,23.8,40.81,5171.77,144.78,19105.22877727647,22040.975405883582,17812.485207795573,5.0,True,True,True,True
5.0,16904.29,2.0,66.7,7.0,30.01,2.0,12.05,75.47,7.54,24.98,107.1,394.02,548.43,367.21,43.06,15.83,9.7,32.09,8017.87,136.83,35757.95548974025,23830.50055781321,17688.307232991938,5.0,True,True,True,True
6.0,12941.74,7.0,52.88,3.0,35.59,1.0,17.29,108.96,27.42,6.58,262.25,125.6,512.81,150.29,25.07,39.25,6.57,86.66,5521.32,133.14,40260.170866796434,26929.19764631259,23739.14474051177,15.0,True,True,True,True
7.0,14232.67,9.0,91.3,8.0,26.19,1.0,22.34,24.66,31.11,13.83,118.16,280.57,350.29,747.17,61.94,74.3,7.36,29.54,5332.56,139.56,34062.83554858886,21735.28463000308,17310.048329073998,6.0,True,True,True,True
8.0,9805.54,4.0,48.12,8.0,61.68,2.0,12.21,79.17,9.37,14.06,112.8,236.38,506.17,281.23,49.23,52.75,7.15,59.86,2812.55,73.56,50668.4077968002,19432.20838764713,17176.068927699587,5.0,True,True,True,True
9.0,17873.2,12.0,75.0,3.0,60.98,2.0,23.22,132.41,6.84,13.18,64.42,123.54,591.58,318.83,56.44,58.67,20.43,148.27,8340.84,93.87,67098.50553117221,29005.533127398703,23527.344931958,16.0,True,True,True,True
10.0,19146.63,4.0,96.29,2.0,21.4,2.0,6.85,110.82,19.4,24.1,133.23,482.73,512.86,211.35,58.97,69.11,21.92,146.2,3877.91,100.34,18823.10818425696,22273.885261423144,19952.379177134368,6.0,True,True,True,True
11.0,6859.27,10.0,74.84,4.0,13.81,1.0,23.49,32.87,35.87,17.06,176.87,537.59,165.54,542.33,44.28,46.59,8.29,84.94,5912.46,125.08,43557.06864060924,44825.24357142571,41805.41081509393,21.0,True,True,True,True
