scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
0,1746.53,7,12.15,4,21.74,1,0.01,100.44,231.83,0.01,141.82,253.6,24.35,12619.56463011547,87.1712220827771,56099.9266984714,782.8156559906428,109825.54585503324,1662.3245918262596,6,True,True,True,True
1,1521.28,10,17.57,12,119.61,1,0.01,128.29,151.12,0.01,27.47,237.89,91.81,49545.55620017138,776.3249558128616,55662.57068559341,697.7821151225525,110066.05247545376,1428.729431334623,6,True,True,True,True
2,1070.9,3,52.75,5,29.65,1,0.01,47.68,61.9,0.01,106.84,189.69,42.91,24321.70805486798,349.9633234345061,56301.92125296143,834.7937514191827,110733.02383684552,1622.0363760383132,5,True,True,True,True
3,754.17,3,52.07,4,81.13,1,0.01,84.36,88.25,0.01,38.32,146.59,89.11,61815.306246322056,636.8021311933186,59514.34593870634,413.8326342955103,115613.04373519657,796.1769902628399,5,True,True,True,True
4,2297.5,11,61.25,7,28.49,1,0.01,125.04,91.98,0.01,92.54,275.36,84.12,20387.51510159491,185.9113009225098,55201.67827237313,1329.3699458021083,109092.69347948718,2611.410463210344,9,True,True,True,True
5,2049.01,2,37.05,10,50.01,2,0.01,75.47,59.41,0.01,149.9,212.4,53.55,18195.567399532647,276.5985290309352,55821.293898575,853.489395621633,110076.6785147991,1730.19722593045,6,True,True,True,True
6,1568.7,7,29.38,5,59.32,1,0.01,108.96,131.15,0.01,39.49,61.04,131.12,15187.239341859582,347.13248126009,55505.2268461952,980.5472530248328,109965.64396518117,1915.5399845252823,8,True,True,True,True
7,1725.17,9,50.72,11,43.65,1,0.01,24.66,254.95,0.01,82.96,124.36,59.08,25213.54380695549,326.2496343437093,55798.27987307365,1252.2021277199583,110383.18209936972,2511.767108085354,8,True,True,True,True
8,1188.55,4,26.73,12,102.8,2,0.01,79.17,141.93,0.01,84.35,108.82,56.4,34554.44895777144,329.514818404938,57266.07906118663,688.6900030483489,112523.64791468876,1260.4700455731006,5,True,True,True,True
9,2166.45,12,41.67,5,101.64,2,0.01,132.41,279.4,0.01,79.09,170.21,32.21,36086.57331475505,965.1412132323104,56050.20885106868,1161.989085369447,110703.2486471892,2286.507665205997,11,True,True,True,True
